Hour,Calls,Messages,Presences
04,0.191791331031837,0.314811711474468,0.998072032989532
05,0.245492903720752,0.339948768284216,0.991741846294375
06,1.03567318757192,0.639199444590745,0.91655434521966
07,3.03030303030303,1.70213784683153,2.5151248945835
08,3.27579593402378,2.68368006511695,6.41193113588303
09,1.92558496355965,2.39999042397836,8.51003844785334
10,3.31415420023015,3.88786478657442,8.71634584587639
11,4.35749904104334,4.76167676138948,8.04886072701155
12,5.33947065592635,5.10401953508415,10.4576951733555
13,5.51591868047564,5.23808383806947,12.2122339644561
14,7.4952052167242,5.3769361518757,8.5221886270921
15,8.78404296125815,6.79179334945297,5.68771998579771
16,10.517836593786,7.37952167771899,3.85769135634737
17,9.38243191407748,7.60695219171195,3.18701280001542
18,8.17031070195627,7.3567786263197,3.06853438037771
19,6.5132336018412,7.03478489861387,2.94060792089648
20,4.43421557345608,7.13413612314764,2.8988853769475
21,4.00460299194476,6.92346364702784,2.40074692423787
22,3.8204833141542,6.67089607622513,1.76077449739735
23,4.09666283084005,5.23688683536425,1.44906476688001
00,2.09436133486766,2.90033755476287,1.23877029604299
01,1.31185270425777,1.37296210289435,1.14744554291555
02,0.820866896816264,0.683488544684111,1.03898204551196
03,0.322209436133487,0.459649038806828,1.02297706601704
